[2023-01-21 09:36:16	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:16	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:16	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:17	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:18	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:36:19	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:44:20	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
